file,cls,label,phone,fold,score,score_top9,score_max,split
00998.png,Bonafide,0,iPhone,0,0.1326821893453598,0.4533866345882416,0.7048122882843018,fold 0
10673.png,Bonafide,0,iPhone,0,0.04238147288560867,0.1493169665336609,0.35141095519065857,fold 0
10881.png,Bonafide,0,Samsung,0,0.06940463185310364,0.2119928002357483,0.4835662841796875,fold 0
10960.png,Bonafide,0,Samsung,0,0.08120271563529968,0.2502223253250122,0.38471686840057373,fold 0
11130.png,Bonafide,0,iPhone,0,0.12201143801212311,0.39223483204841614,0.7641159892082214,fold 0
11154.png,Bonafide,0,none,0,0.06735836714506149,0.23344527184963226,0.6303256154060364,fold 0
11196.png,Bonafide,0,none,0,0.07319203019142151,0.2649647295475006,0.7841410040855408,fold 0
11233.png,Bonafide,0,none,0,0.16160720586776733,0.4204665422439575,0.6236448287963867,fold 0
11237.png,Bonafide,0,none,0,0.13739913702011108,0.5140583515167236,0.8762418627738953,fold 0
11308.png,Bonafide,0,none,0,0.17994730174541473,0.5405295491218567,0.7529287338256836,fold 0
11326.png,Bonafide,0,none,0,0.030713804066181183,0.11208120733499527,0.34401553869247437,fold 0
11358.png,Bonafide,0,none,0,0.02157040685415268,0.07263360172510147,0.2163361757993698,fold 0
11463.png,Bonafide,0,none,0,0.08458912372589111,0.28352367877960205,0.5940814018249512,fold 0
11483.png,Bonafide,0,none,0,0.06403382122516632,0.20823748409748077,0.5865766406059265,fold 0
11507.png,Bonafide,0,none,0,0.29865825176239014,0.6535917520523071,0.7659322023391724,fold 0
11807.png,Bonafide,0,none,0,0.18238897621631622,0.4631466269493103,0.6106444001197815,fold 0
11886.png,Bonafide,0,none,0,0.04299338907003403,0.1616043746471405,0.7448431253433228,fold 0
11953.png,Bonafide,0,none,0,0.06333056092262268,0.22356149554252625,0.55097496509552,fold 0
11981.png,Bonafide,0,none,0,0.04894808679819107,0.17421501874923706,0.3470781743526459,fold 0
12022.png,Bonafide,0,none,0,0.08834558725357056,0.29028722643852234,0.5614616274833679,fold 0
12103.png,Bonafide,0,none,0,0.17667894065380096,0.5330216884613037,0.7174471020698547,fold 0
12207.png,Bonafide,0,none,0,0.0615273043513298,0.19094936549663544,0.5175794959068298,fold 0
12249.png,Bonafide,0,none,0,0.03416518121957779,0.12097764015197754,0.41383224725723267,fold 0
12368.png,Bonafide,0,none,0,0.11592406779527664,0.3589650094509125,0.5668894648551941,fold 0
12533.png,Bonafide,0,none,0,0.14936459064483643,0.37072813510894775,0.8576655387878418,fold 0
12714.png,Bonafide,0,none,0,0.1241665706038475,0.397280752658844,0.7756160497665405,fold 0
12735.png,Bonafide,0,none,0,0.10953499376773834,0.3589736223220825,0.8275873064994812,fold 0
12994.png,Bonafide,0,none,0,0.055020771920681,0.20164062082767487,0.6793797016143799,fold 0
13079.png,Bonafide,0,none,0,0.15791398286819458,0.43782272934913635,0.5721991062164307,fold 0
13257.png,Bonafide,0,none,0,0.07132010161876678,0.24294693768024445,0.6235980987548828,fold 0
13355.png,Bonafide,0,none,0,0.04561837390065193,0.17052887380123138,0.4976862967014313,fold 0
13388.png,Bonafide,0,none,0,0.15968579053878784,0.3876436650753021,0.6648272275924683,fold 0
13396.png,Bonafide,0,none,0,0.11357103288173676,0.4293665289878845,0.7559391260147095,fold 0
13414.png,Bonafide,0,none,0,0.04878817871212959,0.1772637516260147,0.537915825843811,fold 0
13582.png,Bonafide,0,none,0,0.08140876889228821,0.2662808299064636,0.48204606771469116,fold 0
13715.png,Bonafide,0,none,0,0.02177058346569538,0.07396814227104187,0.18707548081874847,fold 0
13871.png,Bonafide,0,none,0,0.11133507639169693,0.3625164330005646,0.5667991638183594,fold 0
13890.png,Bonafide,0,none,0,0.16444481909275055,0.5150642991065979,0.8506931066513062,fold 0
13993.png,Bonafide,0,none,0,0.08787873387336731,0.3225771486759186,0.630895733833313,fold 0
14019.png,Bonafide,0,none,0,0.11630760133266449,0.3756369948387146,0.6169582009315491,fold 0
14083.png,Bonafide,0,none,0,0.08089074492454529,0.2641738951206207,0.6647985577583313,fold 0
14261.png,Bonafide,0,none,0,0.0818507969379425,0.24896222352981567,0.6222378611564636,fold 0
14397.png,Bonafide,0,none,0,0.06840360909700394,0.24751690030097961,0.8621553778648376,fold 0
14413.png,Bonafide,0,none,0,0.057102687656879425,0.21146798133850098,0.5253027081489563,fold 0
14511.png,Bonafide,0,none,0,0.24244332313537598,0.6556394100189209,0.9272454380989075,fold 0
14540.png,Bonafide,0,none,0,0.038067277520895004,0.1431581676006317,0.48328205943107605,fold 0
14555.png,Bonafide,0,none,0,0.052396245300769806,0.18647414445877075,0.5259891152381897,fold 0
14678.png,Bonafide,0,none,0,0.08798114210367203,0.25871527194976807,0.32813501358032227,fold 0
14686.png,Bonafide,0,none,0,0.05376461148262024,0.18874900043010712,0.406256765127182,fold 0
14742.png,Bonafide,0,none,0,0.007958094589412212,0.02880244143307209,0.07434077560901642,fold 0
14862.png,Bonafide,0,none,0,0.12828566133975983,0.42990586161613464,0.5887112021446228,fold 0
14899.png,Bonafide,0,none,0,0.051056817173957825,0.1671132743358612,0.4588157832622528,fold 0
14930.png,Bonafide,0,none,0,0.13920347392559052,0.42955124378204346,0.6613829135894775,fold 0
15286.png,Bonafide,0,none,0,0.20005297660827637,0.5747811794281006,0.9819834232330322,fold 0
15370.png,Bonafide,0,none,0,0.13992726802825928,0.49623849987983704,0.8718206882476807,fold 0
15376.png,Bonafide,0,none,0,0.06361314654350281,0.19959847629070282,0.31237339973449707,fold 0
15421.png,Bonafide,0,none,0,0.09789884090423584,0.3376401364803314,0.6581414937973022,fold 0
15554.png,Bonafide,0,none,0,0.028721941635012627,0.10264317691326141,0.4322283864021301,fold 0
15581.png,Bonafide,0,none,0,0.18985432386398315,0.5645594000816345,0.8802435398101807,fold 0
15841.png,Bonafide,0,none,0,0.12741070985794067,0.42442286014556885,0.6105613708496094,fold 0
16038.png,Bonafide,0,none,0,0.05169178918004036,0.18072782456874847,0.6718088388442993,fold 0
16132.png,Bonafide,0,none,0,0.015374066308140755,0.055553726851940155,0.17027416825294495,fold 0
16229.png,Bonafide,0,none,0,0.10012340545654297,0.32901403307914734,0.6351071000099182,fold 0
16243.png,Bonafide,0,none,0,0.10680559277534485,0.39135220646858215,0.6185486912727356,fold 0
16311.png,Bonafide,0,none,0,0.056016042828559875,0.2093651294708252,0.43039974570274353,fold 0
16367.png,Bonafide,0,none,0,0.15951493382453918,0.5378051996231079,0.7789293527603149,fold 0
16402.png,Bonafide,0,none,0,0.1031939685344696,0.3161911964416504,0.6572771668434143,fold 0
16405.png,Bonafide,0,none,0,0.15805646777153015,0.4925445020198822,0.7636129856109619,fold 0
16603.png,Bonafide,0,none,0,0.1878696084022522,0.46180424094200134,0.8781834840774536,fold 0
16942.png,Bonafide,0,none,0,0.09848865866661072,0.321277916431427,0.9439752697944641,fold 0
17093.png,Bonafide,0,none,0,0.15769439935684204,0.5237530469894409,0.8172153830528259,fold 0
17105.png,Bonafide,0,none,0,0.006616857368499041,0.0229104682803154,0.04373686760663986,fold 0
17191.png,Bonafide,0,none,0,0.3449167013168335,0.7451174259185791,0.8476027250289917,fold 0
17394.png,Bonafide,0,none,0,0.03646369278430939,0.12708887457847595,0.37586936354637146,fold 0
17406.png,Bonafide,0,none,0,0.21527178585529327,0.7036329507827759,0.9329224228858948,fold 0
17492.png,Bonafide,0,none,0,0.11896458268165588,0.3698588013648987,0.47506389021873474,fold 0
17627.png,Bonafide,0,none,0,0.10713426023721695,0.3394545316696167,0.8277394771575928,fold 0
17905.png,Bonafide,0,none,0,0.04446205124258995,0.16289985179901123,0.7257014513015747,fold 0
17986.png,Bonafide,0,none,0,0.1345369666814804,0.4150349199771881,0.7125344276428223,fold 0
18115.png,Bonafide,0,none,0,0.07869861274957657,0.2609962224960327,0.41870930790901184,fold 0
18325.png,Bonafide,0,none,0,0.2011193335056305,0.5776925683021545,0.7811519503593445,fold 0
18502.png,Bonafide,0,none,0,0.07424799352884293,0.2830425500869751,0.7714969515800476,fold 0
