file,cls,label,phone,fold,region_px,native,no_fine_detail,no_colour,density_matched,no_noise,drop_no_fine_detail,drop_no_colour,drop_density_matched,drop_no_noise
00962.png,Bonafide,0,iPhone,2,838,0.19607755541801453,0.258182168006897,0.24780350923538208,0.19607755541801453,0.22412164509296417,-0.062104612588882446,-0.051725953817367554,0.0,-0.028044089674949646
00998.png,Bonafide,0,iPhone,0,913,0.22228127717971802,0.22310219705104828,0.2982809245586395,0.21395768225193024,0.22978775203227997,-0.0008209198713302612,-0.07599964737892151,0.00832359492778778,-0.007506474852561951
08794.png,Bonafide,0,iPhone,3,848,0.10583538562059402,0.1695556342601776,0.21487756073474884,0.10583538562059402,0.152568981051445,-0.06372024863958359,-0.10904217511415482,0.0,-0.04673359543085098
10673.png,Bonafide,0,iPhone,0,780,0.13980960845947266,0.17743578553199768,0.2627740800380707,0.13980960845947266,0.13498619198799133,-0.037626177072525024,-0.12296447157859802,0.0,0.004823416471481323
10684.png,Bonafide,0,iPhone,1,908,0.23979881405830383,0.3200029134750366,0.29629066586494446,0.23080293834209442,0.30499696731567383,-0.08020409941673279,-0.056491851806640625,0.008995875716209412,-0.06519815325737
10696.png,Bonafide,0,iPhone,2,967,0.33157214522361755,0.36840692162513733,0.3704734742641449,0.2902018129825592,0.31381791830062866,-0.036834776401519775,-0.038901329040527344,0.04137033224105835,0.01775422692298889
10712.png,Bonafide,0,iPhone,3,908,0.19365385174751282,0.3130079507827759,0.3047020137310028,0.17994612455368042,0.3060900568962097,-0.11935409903526306,-0.11104816198348999,0.013707727193832397,-0.1124362051486969
10728.png,Bonafide,0,iPhone,1,902,0.15562866628170013,0.17153900861740112,0.20437315106391907,0.12044133245944977,0.18059027194976807,-0.01591034233570099,-0.04874448478221893,0.035187333822250366,-0.024961605668067932
10881.png,Bonafide,0,Samsung,0,696,0.15837690234184265,0.17748217284679413,0.2510615587234497,0.15837690234184265,0.13742154836654663,-0.019105270504951477,-0.09268465638160706,0.0,0.02095535397529602
10889.png,Bonafide,0,Samsung,3,825,0.1021541953086853,0.16273187100887299,0.15293733775615692,0.1021541953086853,0.14983384311199188,-0.06057767570018768,-0.05078314244747162,0.0,-0.04767964780330658
10954.png,Bonafide,0,Samsung,3,823,0.2042933851480484,0.27944692969322205,0.34085533022880554,0.2042933851480484,0.2784092128276825,-0.07515354454517365,-0.13656194508075714,0.0,-0.0741158276796341
10960.png,Bonafide,0,Samsung,0,846,0.10824243724346161,0.15929576754570007,0.1590954065322876,0.10824243724346161,0.15334607660770416,-0.051053330302238464,-0.05085296928882599,0.0,-0.045103639364242554
10970.png,Bonafide,0,Samsung,2,834,0.26819995045661926,0.2254517376422882,0.3255547285079956,0.26819995045661926,0.19039782881736755,0.042748212814331055,-0.05735477805137634,0.0,0.07780212163925171
10972.png,Bonafide,0,Samsung,1,790,0.5337692499160767,0.3878728747367859,0.5329511761665344,0.5337692499160767,0.3613938093185425,0.14589637517929077,0.0008180737495422363,0.0,0.17237544059753418
10992.png,Bonafide,0,Samsung,2,786,0.3579104244709015,0.38707590103149414,0.46413981914520264,0.3579104244709015,0.36238130927085876,-0.02916547656059265,-0.10622939467430115,0.0,-0.004470884799957275
11040.png,Bonafide,0,Samsung,1,892,0.2411426156759262,0.3240867555141449,0.1971188187599182,0.2345447540283203,0.3190477192401886,-0.08294413983821869,0.044023796916007996,0.006597861647605896,-0.07790510356426239
11099.png,Bonafide,0,iPhone,2,784,0.27121955156326294,0.30543091893196106,0.2456461638212204,0.27121955156326294,0.31875619292259216,-0.03421136736869812,0.02557338774204254,0.0,-0.047536641359329224
11117.png,Bonafide,0,iPhone,1,834,0.39161181449890137,0.2966924011707306,0.42306140065193176,0.39161181449890137,0.31740981340408325,0.09491941332817078,-0.031449586153030396,0.0,0.07420200109481812
11130.png,Bonafide,0,iPhone,0,861,0.23416370153427124,0.3055467903614044,0.3065122961997986,0.23416370153427124,0.3195701837539673,-0.07138308882713318,-0.07234859466552734,0.0,-0.08540648221969604
11154.png,Bonafide,0,none,0,798,0.1656874418258667,0.22261588275432587,0.26203376054763794,0.1656874418258667,0.21965603530406952,-0.05692844092845917,-0.09634631872177124,0.0,-0.05396859347820282
11166.png,Bonafide,0,none,2,823,0.08814837038516998,0.11334947496652603,0.13249826431274414,0.08814837038516998,0.08682605624198914,-0.02520110458135605,-0.04434989392757416,0.0,0.0013223141431808472
11193.png,Bonafide,0,none,2,925,0.24873512983322144,0.36555016040802,0.33825692534446716,0.20943757891654968,0.3093158006668091,-0.11681503057479858,-0.08952179551124573,0.03929755091667175,-0.060580670833587646
11196.png,Bonafide,0,none,0,933,0.1826556921005249,0.2326362431049347,0.1518123298883438,0.147028848528862,0.2131720632314682,-0.04998055100440979,0.03084336221218109,0.0356268435716629,-0.0305163711309433
11233.png,Bonafide,0,none,0,954,0.3330362141132355,0.32728660106658936,0.35221126675605774,0.28439414501190186,0.33075883984565735,0.005749613046646118,-0.019175052642822266,0.04864206910133362,0.002277374267578125
11237.png,Bonafide,0,none,0,859,0.22698743641376495,0.20716127753257751,0.28649502992630005,0.22698743641376495,0.2145395278930664,0.01982615888118744,-0.059507593512535095,0.0,0.012447908520698547
11308.png,Bonafide,0,none,0,819,0.2839471101760864,0.23430225253105164,0.44421112537384033,0.2839471101760864,0.175873264670372,0.04964485764503479,-0.1602640151977539,0.0,0.10807384550571442
11311.png,Bonafide,0,none,3,869,0.22915223240852356,0.31133919954299927,0.29437097907066345,0.21427588164806366,0.3505738079547882,-0.08218696713447571,-0.06521874666213989,0.0148763507604599,-0.12142157554626465
