file,label,phone,native,shrunk
01012.png,0,iPhone,0.11777117848396301,0.11777117848396301
10741.png,0,iPhone,0.14774483442306519,0.14774483442306519
10744.png,0,Samsung,0.043400198221206665,0.03125349059700966
11053.png,0,iPhone,0.1814226508140564,0.17624041438102722
11174.png,0,none,0.1432584524154663,0.1432584524154663
11185.png,0,none,0.14311347901821136,0.14311347901821136
11261.png,0,none,0.0915202721953392,0.0915202721953392
11280.png,0,none,0.21237286925315857,0.21237286925315857
11506.png,0,none,0.2328692078590393,0.1884133219718933
11781.png,0,none,0.2557486295700073,0.24686077237129211
11957.png,0,none,0.290392130613327,0.290392130613327
12062.png,0,none,0.16529247164726257,0.14798159897327423
12145.png,0,none,0.11923784762620926,0.10462439805269241
12269.png,0,none,0.29562297463417053,0.2588047385215759
12278.png,0,none,0.19142119586467743,0.17013181746006012
12302.png,0,none,0.24014922976493835,0.2124921977519989
12349.png,0,none,0.21955984830856323,0.1900411695241928
12569.png,0,none,0.24851495027542114,0.19825997948646545
12616.png,0,none,0.4826292395591736,0.46798527240753174
12934.png,0,none,0.13660842180252075,0.13660842180252075
13046.png,0,none,0.22514043748378754,0.18591533601284027
13121.png,0,none,0.16956168413162231,0.15025927126407623
13124.png,0,none,0.21703335642814636,0.2081838995218277
13537.png,0,none,0.02627013437449932,0.02627013437449932
13640.png,0,none,0.19845861196517944,0.19845861196517944
13836.png,0,none,0.323097825050354,0.28183895349502563
14062.png,0,none,0.2704528570175171,0.22531765699386597
14066.png,0,none,0.14472465217113495,0.14472465217113495
14201.png,0,none,0.24656234681606293,0.2456997185945511
14220.png,0,none,0.15213555097579956,0.14408081769943237
14416.png,0,none,0.1714615374803543,0.1714615374803543
14439.png,0,none,0.08614827692508698,0.08614827692508698
14822.png,0,none,0.6614618301391602,0.6614618301391602
15084.png,0,none,0.14536844193935394,0.14544372260570526
15237.png,0,none,0.11482993513345718,0.11482993513345718
15238.png,0,none,0.20889319479465485,0.18941208720207214
15336.png,0,none,0.18064981698989868,0.17823320627212524
15459.png,0,none,0.14924487471580505,0.11377739906311035
15469.png,0,none,0.2762899398803711,0.2762899398803711
15683.png,0,none,0.1834634393453598,0.1532335877418518
15718.png,0,none,0.2465691864490509,0.21970775723457336
15783.png,0,none,0.0896054208278656,0.0896054208278656
15787.png,0,none,0.2418946623802185,0.2072339951992035
15804.png,0,none,0.24663785099983215,0.24663785099983215
15851.png,0,none,0.09154760837554932,0.09154760837554932
16116.png,0,none,0.22392934560775757,0.1797845959663391
16205.png,0,none,0.23191870748996735,0.23191870748996735
16298.png,0,none,0.39066946506500244,0.33557116985321045
16337.png,0,none,0.2250271439552307,0.22131432592868805
16397.png,0,none,0.05181559547781944,0.05181559547781944
