cls,file,face_found,face_side,lap_var,cr_std,hf_energy,peakiness_native,specular_ratio
Bonafide,00962.png,True,644.8,207.9038543701172,21.200703969679452,0.019892290234565735,4.119583149772904,6.103515625e-05
Bonafide,00998.png,True,702.4,231.75399780273438,9.963903222972247,0.01450846903026104,5.085387985205896,0.0699615478515625
Bonafide,01012.png,True,608.0,348.7367858886719,17.260957644586398,0.018395405262708664,3.1018258264372185,0.004150390625
Bonafide,08794.png,True,652.8,262.2214660644531,13.649239893307513,0.0168622899800539,5.509217809980107,0.06262588500976562
Bonafide,10673.png,True,600.0,1896.244873046875,10.960171314095023,0.11660607904195786,5.469898827086722,0.053653717041015625
Bonafide,10684.png,True,699.2,401.0899658203125,15.300987421023988,0.012065012007951736,5.569934776919873,0.028507232666015625
Bonafide,10696.png,True,744.0,254.64842224121094,12.96483498924509,0.018726304173469543,3.5869563237928133,0.0006103515625
Bonafide,10712.png,True,699.2,409.2197265625,14.975581951497153,0.02127518132328987,5.487248478855187,0.0002593994140625
Bonafide,10728.png,True,694.4,122.63722229003906,13.626595928271424,0.011612710542976856,4.1772068994319165,0.03530120849609375
Bonafide,10741.png,True,640.0,1239.5191650390625,12.074977522943527,0.06655328720808029,5.082600847334767,0.04372406005859375
Bonafide,10744.png,True,704.0,929.5034790039062,12.472700893666035,0.03819342330098152,4.345261703316918,0.02092742919921875
Bonafide,10881.png,True,536.0,238.20301818847656,13.175168413870518,0.026989804580807686,5.603322341127689,0.004619598388671875
Bonafide,10889.png,True,635.2,265.252197265625,16.094551778529908,0.016136758029460907,4.315407380216096,0.021450042724609375
Bonafide,10954.png,True,633.6,620.6754150390625,25.613292146216427,0.047688666731119156,4.097101824584816,0.019775390625
Bonafide,10960.png,True,651.2,245.6072235107422,12.68413092062834,0.020513929426670074,4.830419697239882,0.034332275390625
Bonafide,10970.png,True,641.6,365.0443115234375,10.882923955483124,0.013887870125472546,4.614153579546876,0.041439056396484375
Bonafide,10972.png,True,608.0,460.44097900390625,12.598807789507186,0.04170486330986023,4.610378313497617,0.008087158203125
Bonafide,10992.png,True,604.8,2514.25341796875,13.055040075617862,0.11247970163822174,4.786125232647202,0.0034942626953125
Bonafide,11040.png,True,686.4,1417.4884033203125,33.647886391181494,0.037482693791389465,5.0689708256092665,0.11008071899414062
Bonafide,11053.png,True,692.8,176.96141052246094,15.910368011350391,0.014891155064105988,3.6667724217690636,0.0001983642578125
Bonafide,11099.png,True,603.2,225.76512145996094,11.009479131261195,0.011480359360575676,5.3506386288447105,0.0303497314453125
Bonafide,11117.png,True,641.6,117.33438873291016,13.685821808278417,0.0077280583791434765,4.218731178273208,0.006633758544921875
Bonafide,11130.png,True,662.4,353.66668701171875,10.420991982020592,0.01173493079841137,3.8922285108258596,0.057880401611328125
Bonafide,11154.png,True,614.4,247.1382293701172,8.636118878128599,0.015206409618258476,3.2626360712339375,0.03592681884765625
Bonafide,11166.png,True,633.6,145.3678436279297,7.432981831728204,0.02203265205025673,4.090266763927254,0.049896240234375
Bonafide,11174.png,True,646.4,775.3670043945312,13.028007529641313,0.022820942103862762,5.387760328460487,0.1744537353515625
Bonafide,11185.png,True,648.0,265.6254577636719,17.385220798156027,0.014619600959122181,4.63305981633914,0.000392913818359375
Bonafide,11193.png,True,712.0,320.9405212402344,14.27044565988899,0.0305275097489357,2.911365308366342,0.00031280517578125
Bonafide,11196.png,True,718.4,237.16822814941406,26.200149217525443,0.012538953684270382,3.420488407252487,0.030826568603515625
Bonafide,11233.png,True,734.4,230.03378295898438,14.199866623473302,0.0202107485383749,5.859948424096651,0.010791778564453125
Bonafide,11237.png,True,660.8,415.1961975097656,11.52709533777575,0.02677115611732006,3.672208525688125,0.00031280517578125
Bonafide,11261.png,True,657.6,491.5348815917969,12.318223119724257,0.024864375591278076,3.045954253736344,0.001972198486328125
Bonafide,11280.png,True,627.2,425.7940979003906,12.118072456418728,0.017239555716514587,5.154867096991641,0.13969039916992188
Bonafide,11308.png,True,630.4,597.3786010742188,7.910849137597103,0.050576746463775635,4.424295568147119,0.000675201416015625
Bonafide,11311.png,True,668.8,678.9105224609375,12.42476101430817,0.04094874858856201,4.105170067225868,0.051517486572265625
Bonafide,11312.png,True,742.4,630.3829956054688,18.13955130909193,0.030394308269023895,5.321935907804526,0.16385269165039062
Bonafide,11322.png,True,622.4,247.4371795654297,10.993835614546414,0.015694282948970795,4.5449354167348055,0.24058151245117188
Bonafide,11326.png,True,780.8,308.3143310546875,14.212109474682903,0.012812837958335876,3.6983565679451305,0.008991241455078125
Bonafide,11358.png,True,662.4,739.393310546875,9.17961310949312,0.031385812908411026,5.06876421799714,0.022350311279296875
Bonafide,11359.png,True,662.4,220.118896484375,15.330342823105406,0.00952813308686018,4.529430722351084,0.0006561279296875
Bonafide,11373.png,True,641.6,1327.9718017578125,10.491353666022746,0.06047304719686508,2.786346020285129,0.062343597412109375
Bonafide,11413.png,True,675.2,84.45674133300781,8.56713732202528,0.009681950323283672,3.1507044048900594,1.9073486328125e-05
Bonafide,11443.png,True,628.8,431.7569274902344,22.90594678051734,0.025401752442121506,5.650096313294461,0.008289337158203125
